0,lam,alp,N,T
3.4584367275238037,0.02,0.01,100,500
3.4647600650787354,0.02,0.01,100,500
3.4673519134521484,0.02,0.01,100,500
3.474383592605591,0.02,0.01,100,500
3.480818510055542,0.02,0.01,100,500
3.4908931255340576,0.02,0.01,100,500
3.5035903453826904,0.02,0.01,100,500
3.509079694747925,0.02,0.01,100,500
3.514224052429199,0.02,0.01,100,500
3.5262908935546875,0.02,0.01,100,500
3.532527208328247,0.02,0.01,100,500
3.5411760807037354,0.02,0.01,100,500
3.544428586959839,0.02,0.01,100,500
3.549905300140381,0.02,0.01,100,500
3.558363437652588,0.02,0.01,100,500
3.565730333328247,0.02,0.01,100,500
3.576521158218384,0.02,0.01,100,500
3.5812525749206543,0.02,0.01,100,500
3.5875840187072754,0.02,0.01,100,500
3.598717212677002,0.02,0.01,100,500
3.6074295043945312,0.02,0.01,100,500
3.6211023330688477,0.02,0.01,100,500
3.6336827278137207,0.02,0.01,100,500
3.6449337005615234,0.02,0.01,100,500
3.653348207473755,0.02,0.01,100,500
3.6626508235931396,0.02,0.01,100,500
3.6669442653656006,0.02,0.01,100,500
3.6756370067596436,0.02,0.01,100,500
3.683060884475708,0.02,0.01,100,500
3.691535472869873,0.02,0.01,100,500
3.700340509414673,0.02,0.01,100,500
3.7108354568481445,0.02,0.01,100,500
3.7163968086242676,0.02,0.01,100,500
3.7220022678375244,0.02,0.01,100,500
3.7299647331237793,0.02,0.01,100,500
3.728811264038086,0.02,0.01,100,500
3.74235200881958,0.02,0.01,100,500
3.7538018226623535,0.02,0.01,100,500
3.7592661380767822,0.02,0.01,100,500
3.7696757316589355,0.02,0.01,100,500
3.772623300552368,0.02,0.01,100,500
3.78340482711792,0.02,0.01,100,500
3.7955427169799805,0.02,0.01,100,500
3.8066635131835938,0.02,0.01,100,500
3.8135249614715576,0.02,0.01,100,500
3.8209774494171143,0.02,0.01,100,500
3.8304505348205566,0.02,0.01,100,500
3.835047721862793,0.02,0.01,100,500
3.8414196968078613,0.02,0.01,100,500
3.849668264389038,0.02,0.01,100,500
3.861131429672241,0.02,0.01,100,500
3.8714466094970703,0.02,0.01,100,500
3.8776638507843018,0.02,0.01,100,500
3.888263463973999,0.02,0.01,100,500
3.8976168632507324,0.02,0.01,100,500
3.9084863662719727,0.02,0.01,100,500
3.9165091514587402,0.02,0.01,100,500
3.923563241958618,0.02,0.01,100,500
